"X","Data","n","p","Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM","Mean_CORR","High_Corr_Count"
13,"227_cpu_small",8192,13,"S1",1,0.985650769169065,0.0241123416537267,0.0326855392463192,12213.1849708694,0.971471774432748,19,13288.941,"x1","troot(x6)*x12","sin_deg(troot(x12))",1,1,1,0.230519031072177,1
14,"228_elusage",55,3,"S1",1,0.946465180982086,0.082039278289968,0.11593676684882,26.6386355342164,0.874233121864461,5,387.328000000009,"x1","x1","x1",0.571561359440431,0.571561359440431,0.571321102989123,0.247939285177505,0
15,"229_pwLinear",200,11,"S1",1,0.942062614934934,0.0552242838889554,0.0742521281163582,174.276605491043,0.878837919827058,15,743.323000000004,"x6*x1","x5","x1*x2",1,1,0.999999999995864,0.0590043406393893,0
16,"230_machine_cpu",209,7,"S1",1,0.931106441802114,0.0302027225795076,0.0606424385238381,306.018710239109,0.865140961583203,5,570.940000000002,"cos_deg(x3)","x4","x2",1,0.999999999617064,0.999999869338685,0.460526636911951,0
17,"294_satellite_image",6435,37,"S1",1,0.0493364806923977,0.329673877136517,8.62748830491859,1817.67151745144,-537.742284143167,22,13003.336,"sigmoid(x9*x28)","x6*x22","x17",1,1,1,0.495801038234992,174
18,"4544_GeographicalOriginalofMusic",1059,118,"S1",1,0.866946562348039,0.0514654971009996,0.0722259825963568,1100.89724128112,0.751045224785411,16,2921.147,"x42","x100","x40",1,1,0.999999999999986,0.263397249089202,988
19,"485_analcatdata_vehicle",48,5,"S1",1,0.828896962589524,0.106261678633556,0.148075561497323,9.00136848212722,0.68339358716474,4,389.050000000003,"x1","x3","x2",0.999998686229897,0.985250344024102,0.466624373316329,0,0
20,"503_wind",6574,15,"S1",1,0.888556836909352,0.054337739011499,0.0710400535861779,5649.69912298413,0.789240607358881,16,7913.364,"x10","x13","x2*x2",1,1,1,0.487403396146681,28
21,"505_tecator",240,125,"S1",1,0.999172734143303,0.00810035357732956,0.0105060454815192,538.002652712708,0.998274536643306,15,1209.107,"x124","x54","x60",1,1,1,0.78566953131616,5883
22,"519_vinnie",380,3,"S1",1,0.846753441733441,0.0807529226174323,0.103380390299128,240.834829668569,0.703212145937876,2,362.826000000001,"x2","x2",NA,0.665839988028005,0.665839988028005,NA,0.127748304527852,0
23,"522_pm10",500,8,"S1",1,0.380270320969759,0.141775015949782,0.1809601252746,126.510359924809,0.142185003221855,5,568.559999999998,"x3","x3","x1",0.718007263750096,0.64136548068787,0.569277545662407,0.159611851945435,0
24,"523_analcatdata_neavote",100,3,"S1",1,0.989178436165194,0.0444407561203689,0.0672324504583213,54.8799306211775,0.977061422791883,4,375.876999999993,"p0(x1)","x1","cos_deg(x1)",0.680249378783867,0.479458871430365,0.166039434500064,0.174165595143352,0
25,"527_analcatdata_election2000",67,15,"S1",1,1,8.11238331412683e-16,3.12464190883397e-15,1815.16102023637,1,11,403.135999999999,"x4","x5","x6",1,1,1,0.563604691194534,31
26,"529_pollen",3848,5,"S1",1,0.89574260330122,0.0477929633579692,0.0610643508177213,3876.24136350478,0.801823942101459,4,3865.838,"x1","x2","x3",1,1,1,0.279639616167561,1
27,"542_pollution",60,16,"S1",1,0.75933571043852,0.0889885910271913,0.118126337837638,27.6376128437585,0.505577335264716,9,394.216,"x9","x14","x1",0.99999751735034,0.990097967311827,0.849283458891976,0.259989261744639,1
28,"547_no2",500,8,"S1",1,0.726096940287013,0.0807994563348074,0.097744569871846,302.615974541466,0.519222680029831,10,931.305999999997,"x1","x2*x4","x4",0.999999999999472,0.988560489722858,0.883246634339301,0.156166637111891,0
29,"556_analcatdata_apnea2",475,4,"S1",1,0.290745394250601,0.0496765504975095,0.0920027978638073,192.174515048013,-0.0313960809290088,4,811.415999999997,"sin_deg(x2)","sigmoid(x2)","x2",0.998480748960604,0.995029843390655,0.667169870217085,0,0
30,"557_analcatdata_apnea1",475,4,"S1",1,0.292312478267721,0.0477884981311983,0.0778294870166866,178.48485861328,-0.237337779375362,6,600.948999999993,"sin_deg(x2)","sigmoid(x2)","x2",0.999996682030479,0.999996666888311,0.533333813426228,0,0
31,"560_bodyfat",252,15,"S1",1,0.997670716345631,0.00434138677308782,0.0131344262235946,464.266328570567,0.995158307043091,7,553.168999999994,"x1*((x7*x9)*x1)","sigmoid(x1*((x7*x9)*x1))","sin_deg(x1*((x7*x9)*x1))",0.999975273263705,0.999203968364236,0.985526895434777,0.52407767859823,12
32,"561_cpu",209,8,"S1",1,0.991557180938148,0.0062894208916251,0.0222795537503763,577.969945623415,0.974833675797831,12,722.577000000005,"x3","x6","x4*x5",1,1,1,0.33916022500809,0
33,"562_cpu_small",8192,13,"S1",1,0.985650769169065,0.0241123416537267,0.0326855392463192,12213.1849708694,0.971471774432748,19,13729.24,"x1","troot(x6)*x12","sin_deg(troot(x12))",1,1,1,0.230519031072177,1
34,"573_cpu_act",8192,22,"S1",1,0.990733535698137,0.019141734095257,0.0262928519588231,13668.051740809,0.981539696225707,33,15081.227,"x1","p0(cos_deg(p0(x21)))","sin_deg(x20)",1,1,1,0.239802137947572,8
35,"579_fri_c0_250_5",250,6,"S1",1,0.756068022791009,0.100418477709125,0.173116381188272,137.612116332035,0.375840302063813,9,829.313000000024,"x1","x5","x3",1,1,0.999999999997899,0.0506630705224724,0
