"Data","n","p","Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM","Mean_CORR","High_Corr_Count"
"687_sleuth_ex1605",62,6,"S3",8,0.719818794776415,0.137842336575995,0.166251949772196,20.2005582109786,0.399403017477396,5,306.646000000001,"x5","x2","x3",0.999999565878625,0.241775798142203,0.202884641876741,0.250949751082405,0
"690_visualizing_galaxy",323,5,"S3",8,0.982185428260359,0.0442455245735676,0.0542076748321595,313.55765300234,0.963859653601764,8,886.422000000002,"x2","x2*x2","cos_deg(x2*x2)",0.999999999999999,0.999999999999999,0.999999999999995,0.255754858205335,1
"695_chatfield_4",235,13,"S3",8,0.948948003499827,0.0440477888823654,0.0580906285128181,214.730306738924,0.896316697263796,7,387.821,"x12","x11","x6",0.999999997754806,0.999730703391727,0.618514797566683,0.748700997402412,51
"706_sleuth_case1202",93,7,"S3",8,0.766345830993644,0.109212691173059,0.151038789423314,44.86487439017,0.548502331635712,5,358.027999999998,"x5","x5*x3","x5",0.675079074427366,0.585585451290869,0.583915246046771,0.296128288066476,0
"712_chscase_geyser1",222,3,"S3",8,0.864209977155627,0.0898794018073961,0.116296380418418,116.731168372248,0.733706646575839,2,335.208000000002,"x2","x1",NA,1,0.228064106055173,NA,0.0835543380949102,0
"auto_insurance_losses",159,24,"S3",8,-0.59718505519983,0.196146336423856,0.256784010799462,51.4359726640446,-1.04374708259498,11,387.295000000002,"x4","x12","x10*x1",0.991402855936037,0.8839945877707,0.86216426177725,0.323849053040194,15
"auto_insurance_price",193,24,"S3",8,0.967103049767415,0.0407037961461662,0.059934642751557,172.625707677038,0.923100022375341,11,470.212,"x7","x15*x1","(x6*x10)*(x6*x10)",1,0.999999999999782,0.999999980154677,0.285088648343759,13
"first_principles_ideal_gas",30,4,"S3",8,0.995724133410989,0.012588416123713,0.0173565444478741,37.7893664148222,0.987895014841145,6,331.060000000001,"troot(x3)","p0(x1)","x2",0.99999999999998,0.99896398250125,0.959293278193121,0.0881101198278046,0
"first_principles_newton",30,4,"S3",8,0.907533158531262,0.110210950395709,0.133013608686457,5.75750028062436,0.7560510503671,5,388.072,"troot(x2)","x2","p0(x3)",0.999808295706477,0.999722635271289,0.997909769406159,0.325908266648953,0
"first_principles_planck",100,3,"S3",8,0.875883445932023,0.0256305237388994,0.0496800419343745,75.7007242108694,0.756402917718647,5,285.498,"x1*x2","x1","x1",0.999999999991697,0.666656770069569,0.666656770066883,0.00818782759614746,0
"first_principles_rydberg",50,3,"S3",8,0.999048259706874,0.0116002832100457,0.0141127976953459,95.1096270625828,0.997339229623513,5,437.574000000001,"x1","p0(x1)","x1*x2",1,0.999999999999947,0.999999999999917,0.569022775410477,0
"nikuradse_1",362,3,"S3",8,0.964294607921261,0.0533836124925041,0.0797346781310412,338.299890087868,0.929565790871273,3,331.589,"p0(x1)","sin_deg(p0(x1))","cos_deg(p0(x1))",1,0.740744656721205,0.259255924729981,0.152571125019066,0
"solar_flare",1066,10,"S3",8,0.407965901510654,0.0464222038869742,0.0788986094965364,677.234542047919,0.153104287228371,3,786.516,"x1*x3","x4","x9",0.999999999999721,0.654658922833156,0.574181318845471,0.209493041264626,0
"strogatz_bacres1",400,3,"S3",8,-0.00954425505080522,0.22123947292451,0.251577767261919,875.926940229607,-0.596151121287477,5,787.039000000001,"troot(x1)","x2","sin_deg(1+(troot(x1)+(x2+x1)))",1,1,1,0.0245198014527286,0
"strogatz_bacres2",400,3,"S3",8,0.863930394462921,0.376699782487851,0.40472529786922,678.513181286092,-0.740782768346892,5,787.483,"x2","x2*x1","troot(x2)",1,1,0.999999939026415,0.0245198014527286,0
"strogatz_barmag1",400,3,"S3",8,0.40036410982483,0.508310159968862,0.523039696343461,481.472984255072,-9.95059440061366,5,344.200999999997,"x1","x2","cos_deg(x2)",1,1,1,0.00683849284926243,0
"strogatz_barmag2",400,3,"S3",8,-0.339113502455431,0.30689937274046,0.365280078621332,556.107074770671,-5.43810890113429,5,1072.98,"sigmoid(x2)","sin_deg(x2)","x2*(x2*x2)",0.99999999962529,0.999999948631885,0.999976865465358,0.00683849284926243,0
"strogatz_glider1",400,3,"S3",8,-0.999800904138953,0.275726472575059,0.320948956187304,37.6431472383077,-1.03241927141728,2,413.516,"x1","x2",NA,0.999967577874996,0.12083696187928,NA,0.563772484434818,0
"strogatz_glider2",400,3,"S3",8,0.78937169102716,0.0911909277894369,0.128742920162581,380.340466613544,0.559880098585537,4,527.597000000002,"troot(x1)","sigmoid(x1)","x1",1,0.661638374538194,0.481223674562193,0.563772484434818,0
"strogatz_lv1",400,3,"S3",8,-0.443908302867574,0.851819056778273,0.853050249101493,1079.35998508164,-18510.2570808836,5,343.653999999999,"x1","x1*x1","sigmoid(x1)",1,1,1,0.904019972050547,1
"strogatz_lv2",400,3,"S3",8,-0.720017629866862,0.670658410258305,0.676820176973177,883.184814150772,-261.347539211062,5,339.841999999997,"x1","x2","x1*x1",1,1,1,0.904019972050547,1
"strogatz_predprey1",400,3,"S3",8,-0.210100309775741,0.108279830600621,0.115923068879507,396.788478807149,-2.53325759868156,5,502.495000000003,"x2*x2","x2","x1",0.871145963274574,0.87003940545655,0.666680184453613,0.41360727465672,0
"strogatz_predprey2",400,3,"S3",8,-0.667580094646996,0.42591334195462,0.459637378354743,476.580683644817,-1.79465400427278,5,339.313999999998,"x1","x2","cos_deg(1+(x1+(x2+x2)))",1,1,1,0.41360727465672,0
"strogatz_shearflow1",400,3,"S3",8,-0.10508465669317,0.19357678198468,0.234694105768117,454.252614902854,-6.0931785813316,5,343.046000000002,"x1*x2","x2","x1",0.999140183030119,0.893111018821822,0.666501687200437,0.672621916216022,0
"strogatz_shearflow2",400,3,"S3",8,0.762655130631365,0.0773726613931587,0.102937795312691,200.650316683621,0.424960353996673,5,816.326999999997,"x2","x2*x1","x1*x1",1,1,0.999999999999983,0.672621916216022,0
"strogatz_vdp1",400,3,"S3",8,-0.247826458620842,0.276696303101916,0.307516404830913,332.984314828494,-27.3788445659141,5,347.108999999997,"x2","x2*x1","x1*x1",1,0.999994066397063,0.999775264400441,0.51130748299378,0
"strogatz_vdp2",400,3,"S3",8,-1,0.501865848517134,0.553765316326189,10294.6323278999,-3.53975068830808,4,314.773999999998,"p0(x2)","x1","cos_deg(p0(x2))",1,1,0.851326409513783,0.51130748299378,0
"_deprecated_195_auto_price",159,16,"S3",9,0.883921844580245,0.0547559854174438,0.0882781922351873,145.526414043663,0.779073856103859,3,592.813,"x7*x5","x12","x5",0.999972687664026,0.975215478735781,0.88655141721227,0.380661948618152,11
"_deprecated_207_autoPrice",159,16,"S3",9,0.883921844580245,0.0547559854174438,0.0882781922351873,145.526414043663,0.779073856103859,3,581.014,"x7*x5","x12","x5",0.999972687664026,0.975215478735781,0.88655141721227,0.380661948618151,11
"1027_ESL",488,5,"S3",9,0.931396863081038,0.0532630019296232,0.0677341305310607,468.926455453692,0.864883744649832,4,1015.845,"x2","x1*x3","x4",1,0.999999999936949,0.702122678220322,0.585962704350161,0
"1028_SWD",1000,11,"S3",9,0.67014202092763,0.164199642196173,0.20570105646207,81.3111621852323,0.43919747168642,10,1478.375,"troot(x3)","x7","x8",0.999999999999999,0.99850357135399,0.995389759528789,0.126556494295518,0
"1029_LEV",1000,5,"S3",9,0.733402967158139,0.127408448620751,0.163865181136212,318.335695300911,0.536238383613066,4,1896.155,"x1","x2","x3",1,1,1,0.0511735377999165,0
"1030_ERA",1000,5,"S3",9,0.583911794613583,0.153956544400243,0.193947089680947,141.182939994288,0.340441010924547,4,1399.141,"x1","x2","x4",1,1,0.999999968188641,0.0707040092319293,0
"1089_USCrime",47,14,"S3",9,0.661569223715414,0.121230883775741,0.143508403659376,28.8437244465163,0.130200030977069,8,609.981000000002,"x13","x3","x1",0.999989820159617,0.999648885775576,0.986191252667102,0.328885802455492,1
