"Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S6",10,0.865886940179685,2.96058393323686,5.06474891497759,-983.137520205548,0.746816559639814,11,3981.759,"x9","p3(x6)*x9","(exp_dbl(x13)*x9)*x13",1,1,1
"S1",11,0.832787395744426,3.46831291393688,6.7374647316027,-960.394068906232,0.551964458914446,15,4865.523,"x10*x6","x6*x6","x13*x10",1,0.999999999995519,0.999996735289273
"S2",11,0.899107171005945,2.79242373698093,4.411391813226,-964.694092402456,0.807925052766842,19,5341.15,"p0(x13)*x9","x6","p0(x6)",1,1,0.999999981557948
"S3",11,0.831672176228879,3.40164429586298,6.70516255542897,-965.575987332613,0.55625029340634,14,6157.01,"x1","x10*p3(x6)","x6*(x13*x10)",1,1,1
"S4",11,0.887097161411098,3.00681803324341,4.66124766026351,-974.093867669378,0.785551104620962,19,4158.335,"x9*x6","x6*x6","x9",1,1,1
"S5",11,0.893903813815324,2.91498092130122,4.52521543425231,-975.111368925908,0.797885265145037,18,3973.263,"x10*x6","x6","x10*troot(x13)",1,1,0.999994843296829
"S6",11,0.894718763005061,2.85212813800703,4.49940354119274,-965.340886928853,0.800184419817028,13,3498.208,"x6","x10","p0(x13)*x10",1,1,1
"S1",12,0.839249312501078,3.3405906276243,6.30565732723858,-966.174966702215,0.607553745481269,16,4649.894,"x1*sigmoid(x13)","p3(x6)","x9*x6",1,1,1
"S2",12,0.822404638089721,3.53815655378579,7.14759736409606,-960.825630705172,0.49575730323398,18,5014.853,"x1","x6*x10","sigmoid(x13)*x1",1,1,1
"S3",12,0.817654069764447,3.60771713625768,7.29845248745889,-965.694938582977,0.474247886674891,21,5897.637,"x6*x9","x9*x13","sigmoid(x13)*x1",1,0.999999999999998,0.999999999999842
"S4",12,0.863703643531587,3.02581892301496,5.59823138854534,-961.541332661815,0.690670637386346,20,4431.292,"x10","p3(x6)*x10","p3(x6)",1,1,1
"S5",12,0.828350768665271,3.49713921280334,7.00115973810868,-971.446051199116,0.516207167384385,14,4206.877,"x1*exp_dbl(x13)","x6","x8",1,0.999999999999607,0.9999991732715
"S6",12,0.880665655427194,3.05647222937106,4.7748948803261,-984.8433955949,0.77496654566463,14,3506.029,"x13*x9","x11","p0(x13)",0.999999999999998,0.999999999999986,0.999999997555045
"S1",13,0.892591332598597,2.86326925747595,4.55027262067498,-968.889448538322,0.795640754081741,16,5172.623,"x9*p0(x13)","x11","x8",1,0.999999999999792,0.999999508379723
"S2",13,0.850015202706079,3.25951727468616,6.14418627993305,-965.28799245686,0.627395406003012,19,5136.924,"exp_dbl(x13)*x1","x13*x10","x6",1,0.999999980569849,0.999999726616458
"S3",13,0.800835448225079,3.80163525671789,7.37127954699844,-969.150352810074,0.46370318219596,18,5677.794,"x1","x6*x6","x6*x10",1,1,1
"S4",13,0.815139845334388,3.68210198908733,7.55048973426732,-967.815878520125,0.437309348791302,18,4268.239,"x6","x10*x6","x1*sigmoid(x13)",1,1,0.999999999987107
"S5",13,0.834870791635495,3.4895821196997,6.70488244660209,-961.009007114045,0.55628736800742,22,4588.6,"x1*sigmoid(x13)","x11","x10",1,0.999999999999999,0.999999999999986
"S6",13,0.887400244397453,2.86918568823503,4.64344236127652,-976.959852737854,0.787186303712127,12,3891.071,"x6","x10","x11",1,1,1
