"Experiment","Run","Correlation","MAE","RMSE","Time","FirstFeature","SecondFeature","ThirdFeature","FourthFeature","FifthFeature"
"S3",3,0.884489131768105,3.13564993355859,4.71756682944694,1581.497,"x9","x9*x6","x6","x11","p0(x13)*x9"
"S4",3,0.835955920581658,3.42389145530503,6.51461627418723,2167.927,"x13*x9","p3(x6)","(x6*x9)*x6","x9","x11"
"S5",3,0.882582815858953,3.0047257208867,4.73706933531068,1196.541,"x9*p0(p0(x13))","x9*x6","x1","x6","x10"
"S6",3,0.798825915876255,3.85649820534976,7.03122486868886,1436.081,"x6","troot(x6)","p3(x6*x11)*x10","x13","x1"
"S1",4,0.883283988744622,3.01674602428145,4.73445372288682,1728.774,"x9*x13","troot(x6)","(x9*x13)*(x9*x13)","x11","x6*(x6*x9)"
"S2",4,0.826127283339779,3.52405167732171,7.11291809245448,1949.105,"x6*x10","x6","x1*sigmoid(x13)","x9","x11"
"S3",4,0.899873200733123,2.71762505914552,4.39344800160065,1846.169,"p0(x13)*x10","x10","p3(x6)*x10","x9","x5"
"S4",4,0.897843559523858,2.70524341802135,4.43661314148194,1889.67,"p3(x6)","p0(x13)*x10","(x10*p3(x6))*x11","x10","x9"
"S5",4,0.860692383554402,3.17795807074633,5.34792623831571,1639.556,"x6*x9","x9","exp_dbl(x13)*x9","x10*x13","x6"
"S6",4,0.831798243568641,3.47845008372749,6.23950048477374,1433.363,"x6","x10","x11","x11*x6","x9"
"S1",5,0.821629532393433,3.60728293575497,6.92186791649077,2022.56,"sigmoid(x13)*x1","p0(x6)","(x6*x5)*(x6*x11)","x5","x9"
"S2",5,0.890218693611629,2.91022148791689,4.58931152549071,1698.449,"x10*x6","p0(x13)*x10","x10","x6","x11"
"S3",5,0.8214907092254,3.55349158585293,7.1549631032009,1954.002,"x10*x6","x6*x6","x1","x1*sigmoid(x13)","x13*x10"
"S4",5,0.858608042755084,3.18688374257798,5.4310695669112,1788.718,"x9*sigmoid(x13)","x6*x10","x10","x12","x9"
"S5",5,0.87236592119565,3.01482937668811,5.10516598548991,1662.01,"exp_dbl(x13)*x9","x6","x10","x10*x6","x1"
"S6",5,0.855629656688384,3.24905408959241,5.75171229578299,1548.655,"x5","(x5*x6)*(x11*p3(x6))","exp_dbl(x8*p0(x13))","p3(x6)","x1"
"S1",6,0.824824464887747,3.54286116313756,6.74127528075063,1864.004,"x6*x10","x1*sigmoid(x13)","x1","x11","x9"
"S2",6,0.861665609101019,3.19069341978123,5.58936131065493,1913.77,"x10*x6","x10","x1*(x5*(exp_dbl(x13)*x11))","x13*x6","x10*x13"
"S3",6,0.83905898479769,3.35777364867494,6.34114445005072,1968.054,"sigmoid(x13)*x1","x9","p3(x6)","x9*x13","(x6*x9)*x11"
"S4",6,0.824076233853664,3.50022435899158,6.7386844054743,1765.893,"x10*x6","x6*x6","x1*sigmoid(x13)","x11","x5"
"S5",6,0.818762076477795,3.6100624849195,7.01316244758432,1452.226,"(x5*p3(x6))*x11","x13","sigmoid(x13)*x1","x1","x12"
"S6",6,0.87492317064724,2.94593702928693,4.97924060903574,1561.245,"x9*x6","exp_dbl(exp_dbl(x13)*x9)","x5*(x9*x13)","x11","x8"
"S1",7,0.895549571208987,2.82257376479812,4.48973643785078,1928.628,"p0(x13)*(x9*x6)","x9*x6","x10","x1","x6*(x9*x6)"
"S2",7,0.814329433796338,3.6870167539834,7.56061359744048,1834.472,"x9","x10","x6*x10","x1","sigmoid(x13)*x1"
"S3",7,0.808614271572743,3.73092115840962,7.13071127636835,1541.675,"x10*p3(x6)","x13","p3(x6)","x1","sigmoid(x13)*x1"
