"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P3",13,FALSE,FALSE,FALSE,FALSE,4,0.48252037151739,0.48252037151739,0.000920485610278141,678.68132725223,0.999999911549144,4,NA,"troot(x4*x4)","troot(x4)*(troot(x4)*x6)","x9",1,1,0.59755540194816
"P4",13,FALSE,TRUE,FALSE,FALSE,6,0.275811395971279,0.155113354057045,0.00180749399588773,692.686495580159,0.999999687458254,7,NA,"troot(x4*(x9*x4))","troot(x4*(x7*x4))*x9","x2*x1",1,1,0.999999993666277
"P6",13,FALSE,FALSE,FALSE,FALSE,5,0.372566941475053,0.372566941475053,0.000907721282784833,673.551428537306,0.999999910575654,5,NA,"troot(x4)*troot(x4)","x6*(troot(x4)*troot(x4))","x9",0.99999999999986,0.99999999999986,0.644228344859511
"P5",14,TRUE,FALSE,FALSE,FALSE,3,0.986354889276177,0.981806519034903,0.000741351296201482,668.578402807655,0.999999934303186,4,NA,"troot((x6*x4)*x4)","(x6*x4)*x10","x4*(x4*x10)",1,0.999503320574172,0.99950306746183
"P1",14,FALSE,FALSE,FALSE,FALSE,5,0.358243645301953,0.358243645301953,0.000911096384663099,673.695386157929,0.999999915962113,5,NA,"troot(x4*x4)","x6*(troot(x4)*troot(x4))","x9",1,0.999999999999965,0.537404017414342
"P2",14,FALSE,FALSE,FALSE,FALSE,10,0.513048963291691,0.513048963291691,0.00208022714350343,696.600185616474,0.999999034595686,10,NA,"troot(x4*x4)","x5","x4",1,0.999998380532495,0.999996875940052
"P3",14,FALSE,FALSE,FALSE,FALSE,6,0.334262037282524,0.334262037282524,0.000940013200796484,673.695386157928,0.999999913309769,6,NA,"x6*(troot(x4)*troot(x4))","troot(x4)*troot(x4)","x9",1,1,0.678794184831352
"P4",14,TRUE,FALSE,FALSE,FALSE,8,0.596120731167875,0.54563582256386,0.00150041071708948,695.756054886656,0.999999761036554,9,NA,"troot((x4*x4)*x6)","x4","sigmoid(x4)",0.999999999737478,0.999982938481163,0.999982938033797
"P6",14,FALSE,FALSE,FALSE,FALSE,9,0.252174747822946,0.252174747822946,0.00120719131836687,683.955183587772,0.999999828666497,9,NA,"x6*troot(x4*x4)","troot(x4*x4)","x7",1,1,0.389520816988605
"P5",15,FALSE,FALSE,FALSE,FALSE,11,0.603237327110155,0.603237327110155,0.0273472918410241,591.85506632657,0.999017879113793,11,NA,"x4","x3*x4","troot(x4)",0.999999587556078,0.999992787868786,0.999992787868786
